subject,trial,face,trial_type,rt,HandScored_scr,raw_scr,scr,response
17,8,0.11,CS,1570,,3.205,1.790251379,1
17,9,0.55,CSUS,988,,1.922,1.386362146,2
17,10,0.55,CS,1235,,1.728,1.314534138,2
17,11,0.11,CS,1907,,1.803,1.342758355,1
17,12,0.55,CSUS,1232,,2.894,1.701176064,1
17,13,0.11,CS,3981,,1.264,1.124277546,1
17,14,0.11,CS,1044,,0.996,0.997997996,1
17,15,0.55,CS,990,,0.93,0.964365076,2
17,16,0.55,CSUS,966,,3.364,1.834121043,2
17,17,0.11,CS,978,,0.473,0.687749955,1
17,18,0.55,CSUS,1455,,1.356,1.16447413,2
17,19,0.11,CS,2351,,0.616,0.784856675,1
17,20,0.55,CSUS,1637,,0.64,0.8,2
17,21,0.11,CS,2468,,2.392,1.546609194,1
17,22,0.55,CS,886,,0.825,0.908295106,2
17,23,0.55,CSUS,1778,,0.852,0.923038461,2
17,24,0.11,CS,1118,,0.239,0.488876262,1
17,25,0.55,CSUS,755,,0.547,0.739594483,2
17,26,0.11,CS,864,,0.189,0.434741302,1
17,27,0.11,CS,1413,,0.19,0.435889894,1
17,28,0.11,CS,841,,0.315,0.561248608,1
17,29,0.55,CSUS,1440,,0.617,0.785493475,2
17,30,0.11,CS,949,,6.489,2.547351566,1
18,1,0.11,CS,2212,,1.325,1.151086443,1
18,2,0.55,CS,1271,,0.921,0.959687449,2
18,3,0.11,CS,1269,,0.762,0.872926114,1
18,4,0.55,CS,1005,,0.524,0.723878443,2
18,5,0.11,CS,1181,,0.514,0.716937933,1
18,6,0.55,CS,839,,0.656,0.809938269,2
18,7,0.55,CSUS,845,,3.405,1.845264209,2
18,8,0.11,CS,949,,1.628,1.275931033,1
18,9,0.55,CSUS,572,,3.439,1.854454098,2
18,10,0.55,CS,1230,,1.663,1.289573573,2
18,11,0.11,CS,1014,,1.071,1.034891299,1
18,12,0.55,CSUS,759,,3.125,1.767766953,2
18,13,0.11,CS,914,,0.997,0.998498873,1
18,14,0.11,CS,1115,,1.188,1.089954127,1
18,15,0.55,CS,716,,1.397,1.181947545,2
18,16,0.55,CSUS,737,,3.233,1.798054504,2
18,17,0.11,CS,1007,,1.513,1.23004065,1
18,18,0.55,CSUS,677,,2.661,1.631257184,2
18,19,0.11,CS,1482,,0.402,0.634034699,1
18,20,0.55,CSUS,548,,2.204,1.484587485,2
18,21,0.11,CS,959,,1.594,1.262537128,1
18,22,0.55,CS,797,,0.956,0.977752525,2
18,23,0.55,CSUS,783,,2.798,1.672722332,2
18,24,0.11,CS,1162,,1.753,1.324009063,1
18,25,0.55,CSUS,473,,2.912,1.706458321,2
18,26,0.11,CS,811,,1.374,1.172177461,1
18,27,0.11,CS,1022,,0.233,0.482700735,1
18,28,0.11,CS,1002,,1.046,1.022741414,1
18,29,0.55,CSUS,585,,2.568,1.60249805,2
18,30,0.11,CS,889,,2.153,1.467310465,1
19,1,0.55,CS,860,,0.256,0.505964426,2
19,2,0.11,CS,1316,,0.057,0.238746728,1
19,3,0.55,CS,790,,0.019,0.137840488,2
19,4,0.55,CS,852,,0.047,0.216794834,2
19,5,0.11,CS,653,,2.549,1.596558799,1
19,6,0.11,CS,821,,0.088,0.296647939,1
19,7,0.55,CSUS,765,,3.276,1.809972375,2
19,8,0.11,CS,740,,0.231,0.480624594,1
19,9,0.55,CSUS,725,,2.674,1.635236986,2
19,10,0.55,CS,795,,0.344,0.586515132,2
19,11,0.11,CS,671,,0.071,0.266458252,1
19,12,0.55,CSUS,623,,1.55,1.24498996,2
19,13,0.11,CS,918,,0.108,0.328633535,1
19,14,0.11,CS,790,,2.438,1.56140962,1
19,15,0.55,CS,620,,1.046,1.022741414,2
19,16,0.55,CSUS,747,,4.528,2.127909773,2
19,17,0.11,CS,673,,4.667,2.16032405,1
19,18,0.55,CSUS,635,,1.741,1.31946959,2
19,19,0.11,CS,758,,3.213,1.79248431,1
19,20,0.55,CSUS,694,,4.025,2.006240265,2
19,21,0.11,CS,681,,0.419,0.647302093,1
19,22,0.55,CS,780,,0.282,0.531036722,2
19,23,0.55,CSUS,753,,2.555,1.598436736,2
19,24,0.11,CS,778,,2.914,1.707044229,1
19,25,0.55,CSUS,737,,3.808,1.951409747,2
19,26,0.11,CS,686,,0.421,0.648845128,1
19,27,0.11,CS,775,,0.096,0.309838668,1
19,28,0.11,CS,728,,3.132,1.769745744,1
19,29,0.55,CSUS,669,,3.48,1.865475811,2
19,30,0.11,CS,737,,0.326,0.570964097,1
20,1,0.55,CS,1463,,1.815,1.347219359,2
20,2,0.11,CS,983,,0.595,0.771362431,1
20,3,0.11,CS,959,,2.162,1.470374102,1
20,4,0.55,CS,1018,,1.538,1.24016128,2
20,5,0.55,CS,829,,1.446,1.202497401,2
20,6,0.11,CS,1065,,1.512,1.229634092,1
20,7,0.55,CSUS,931,,7.099,2.664394866,2
20,8,0.11,CS,806,,1.319,1.148477253,1
20,9,0.55,CSUS,806,,2.758,1.660722734,2
20,10,0.55,CS,628,,2.073,1.439791652,2
20,11,0.11,CS,940,,1.208,1.099090533,1
20,12,0.55,CSUS,1003,,3.553,1.884940317,2
20,13,0.11,CS,941,,1.577,1.255786606,1
20,14,0.11,CS,1110,,1.237,1.112205017,1
20,15,0.55,CS,869,,1.315,1.146734494,2
20,16,0.55,CSUS,957,,2.836,1.684042755,2
20,17,0.11,CS,1081,,0.277,0.526307895,1
20,18,0.55,CSUS,1014,,1.742,1.319848476,2
20,19,0.11,CS,899,,1.501,1.225153052,1
20,20,0.55,CSUS,884,,1.24,1.113552873,2
20,21,0.11,CS,980,,0.935,0.96695398,1
20,22,0.55,CS,906,,1.631,1.277106104,2
20,23,0.55,CSUS,885,,1.86,1.36381817,2
20,24,0.11,CS,898,,0.517,0.71902712,1
20,25,0.55,CSUS,854,,1.945,1.394632568,2
20,26,0.11,CS,1115,,0.196,0.442718872,1
20,27,0.11,CS,1139,,0.83,0.911043358,1
20,28,0.11,CS,968,,1.173,1.083051245,1
20,29,0.55,CSUS,945,,2.252,1.500666519,2
20,30,0.11,CS,1104,,0.099,0.314642654,1
